City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_Speed
1486321,Yar-Sale,98,RU,1583980289,80,66.83,70.83,-16.84,4.38
1697294,Odiongan,60,PH,1583980290,73,12.4,121.99,27.54,6.31
3387423,Sítio Novo do Tocantins,100,BR,1583980290,95,-5.52,-47.46,23.89,0.16
3443061,Chui,100,UY,1583980290,86,-33.7,-53.46,22.24,6.08
556268,Ostrovnoy,96,RU,1583980028,94,68.05,39.51,-3.58,5.15
5546220,Saint George,1,US,1583980190,63,37.1,-113.58,17.22,4.1
6316343,Alta Floresta,100,BR,1583980291,98,-9.88,-56.09,21.29,1.27
3985710,Cabo San Lucas,40,MX,1583980247,39,22.89,-109.91,27,4.6
2738381,Lata,90,PT,1583980291,93,40.16,-8.33,15.56,2.1
3870243,Taltal,8,CL,1583980292,91,-25.4,-70.48,14.93,0.85
2015179,Tommot,100,RU,1583980292,87,58.96,126.29,-23.64,3.93
3893629,Coquimbo,20,CL,1583980090,82,-29.95,-71.34,17,2.1
2396853,Omboué,97,GA,1583980018,92,-1.57,9.26,23.44,0.49
3439208,Capiíbary,36,PY,1583980293,62,-24.8,-56.03,23.57,2.34
3374083,Bathsheba,20,BB,1583980293,61,13.22,-59.52,26,7.2
5044290,Saint Anthony,1,US,1583980293,86,45.02,-93.22,5.56,3.6
1726449,Basco,52,PH,1583980293,83,20.45,121.97,24.09,9.57
632669,Valkeala,90,FI,1583980294,96,60.94,26.8,1,5.7
5017822,Bemidji,1,US,1583980294,96,47.47,-94.88,1.67,2.1
5513343,Sunrise Manor,40,US,1583980294,63,36.21,-115.07,18.33,2.6
2094027,Kieta,100,PG,1583980294,83,-6.22,155.63,27.42,8.53
3671450,Inírida,42,CO,1583980295,73,3.87,-67.92,25.98,0.46
1861084,Izumo,0,JP,1583980295,57,35.37,132.77,12,2.1
6355222,Yulara,1,AU,1583980295,13,-25.24,130.99,36,3.6
2338669,Eruwa,28,NG,1583980295,88,7.53,3.42,25.48,1.48
5882953,Aklavik,40,CA,1583980295,62,68.22,-135.01,-25,1
3865086,Bahía Blanca,10,AR,1583980262,86,-38.72,-62.27,19.46,6.01
2109528,Buala,100,SB,1583980296,85,-8.14,159.59,26.85,6.78
515805,Oktyabr'skoye,68,RU,1583980296,68,43.06,44.74,7.4,0.88
1272140,Dwārka,0,IN,1583980296,52,22.24,68.97,23.27,7.1
3855075,General Pico,0,AR,1583980297,91,-35.66,-63.76,19.71,2.92
3664980,Boa Vista,94,BR,1583980297,51,2.82,-60.67,30,5.7
3416888,Grindavik,100,IS,1583980063,74,63.84,-22.43,-1,11.3
567177,Danilovka,100,RU,1583980297,86,50.36,44.12,9,7.53
3440777,Rocha,100,UY,1583980298,97,-34.48,-54.33,19.59,2.01
1495626,Pangody,87,RU,1583980298,78,65.85,74.49,-15.54,3.59
2446796,Bilma,0,NE,1583980073,36,18.69,12.92,12.61,9.89
